municipio;prefeito;nome_urna;partido;numero;votos;total_votos_municipio;percentual_municipio;situacao;turno
Cedro;Francisco Nilson Alves Diniz;Dr Nilson Diniz;PSB;40;8855;16670;53.1194;ELEITO;1
Chaval;Carlos Emílio Magalhães Gomes;Carlin Gomes;PSB;40;5721;8887;64.3749;ELEITO;1
Chorozinho;Célia Marinho Albano;Célia Marinho;REPUBLICANOS;10;10423;15788;66.0185;ELEITO;1
Choró;Carlos Alberto Queiroz Pereira;Bebeto Queiroz;PSB;40;5971;18474;32.3211;ELEITO;1
Choró;Paulo George de Sousa Saraiva;Paulinho;PSB;40;5900;18474;31.9368;ELEITO;1
Coreaú;Jose Edezio Vaz de Souza;Edezio Sitonio;PSB;40;12228;16238;75.3048;ELEITO;1
Crateús;Janaina Carla Farias;Janaina Farias;PT;13;26055;47932;54.3583;ELEITO;1
Crato;André Barreto Esmeraldo;André Barreto;PT;13;37092;76107;48.7366;ELEITO;1
Croatá;Ronilson Francisco de Oliveira;Ronilson Oliveira;PT;13;9599;10951;87.6541;ELEITO;1
Cruz;José Waldery Muniz;Dery Muniz;PSB;40;12655;19089;66.2947;ELEITO;1
Deputado Irapuan Pinheiro;Francisco Gildecarlos Pinheiro;Gildecarlos Pinheiro;PSB;40;3883;6411;60.5678;ELEITO;1
Ereré;Glauber Lopes de Holanda;Glauber;PT;13;2438;4847;50.2992;ELEITO;1
Eusébio;Jose Arimatea Lima Barros Junior;Dr Junior;PRD;25;36256;44781;80.9629;ELEITO;1
Farias Brito;Francisco Austragézio Sales;Deda;PDT;12;8486;15497;54.759;ELEITO;1
Forquilha;Edinardo Rodrigues Filho;Edinardo;PSB;40;9431;17170;54.9272;ELEITO;1
Fortaleza;Evandro Sa Barreto Leitao;Evandro Leitão;PT;13;716133;1421428;50.3812;ELEITO;2
Fortim;Delma da Costa dos Santos;Delma Ferreira;MDB;15;10255;15376;66.6948;ELEITO;1
Frecheirinha;Francisco Mesquita Portela;Gargamel;PSD;55;6172;11809;52.2652;ELEITO;1
General Sampaio;João Paulo Sales Cordeiro;João Paulo Cordeiro;PT;13;4078;7411;55.0263;ELEITO;1
Granja;Francisco Anibal Oliveira de Arruda Coelho Filho;Anibal Filho;PT;13;23080;33805;68.2739;ELEITO;1
Granjeiro;Francisco Clementino de Almeida;Chico Clementino;MDB;15;3282;5496;59.7162;ELEITO;1
Graça;Maria Iraldice de Alcantara;Iraldice Mão Cheirosa;PP;11;5820;11160;52.1505;ELEITO;1
Groaíras;Virgina Souza Aguiar;Virginia do Antonio Martins;PDT;12;4198;8375;50.1254;ELEITO;1
Guaiúba;Izabella Maria Fernandes da Silva;Izabella Fernandes;PSB;40;13860;17532;79.0554;ELEITO;1
Guaraciaba do Norte;José Cefas Pontes Melo;Cefas Melo;PSD;55;15984;26801;59.6396;ELEITO;1
